ensemble_geneid	gene_name	GuineaPig_ESF1	GuineaPig_ESF2	GuineaPig_ESF3	GuineaPig_SF1	GuineaPig_SF2	GuineaPig_SF3
ENSCPOG00000026170	SPSB3	17.3302443359889	15.7535073347876	21.5765062069417	24.5199187350732	22.287891009264	22.9006678689386
ENSCPOG00000026171		0	0	0	0	0	0
ENSCPOG00000026173	FAM109B	10.1192348238722	10.2506923720786	11.2839461924749	13.7250863905772	10.1042483292305	12.5904392840108
ENSCPOG00000026174		0	0	0	0	0	0
ENSCPOG00000026175	CHEK1	6.56647950389738	5.72631815059671	8.20938781977276	9.18690131305874	10.1161356802034	9.35381334812267
ENSCPOG00000026178		76.9548933729447	103.641284335085	114.635061685802	76.3881161933327	74.5734867785627	87.9525747301042
ENSCPOG00000026179	GUK1	48.2465226743813	48.8927578547083	58.3598064811221	59.3583562961177	52.3400063454033	57.2772692692719
ENSCPOG00000026180		0	0	0	0	0	0
ENSCPOG00000026181	CYSTM1	77.0490720049571	121.684260700128	108.090272960189	34.9719649178421	61.4268130026467	29.3953465253198
ENSCPOG00000026182	TPRA1	13.5631631444269	16.3902486144104	15.3841678595035	17.623261612024	15.3913078020719	16.0640870875063
ENSCPOG00000026184	EBF1	2.98171896312926	3.82369567953839	3.87954192326827	19.4750803891162	18.6686717428558	19.2628408623546
ENSCPOG00000026186	TMEM167A	178.00668382021	104.701438144438	141.062720283129	202.257082938032	208.868569922593	196.079381893059
ENSCPOG00000026188	BTC	0.116951442185732	0	0	0	0	0
ENSCPOG00000026192		0	0	0	0	0	0.391937953671309
ENSCPOG00000026193		0.0313128054884835	0	0	0	0	0
ENSCPOG00000026195	SCN1B	29.4429412744214	25.3329749118202	21.1654358955039	29.5497713049973	27.451630500304	26.8969742613954
ENSCPOG00000026197	KLHL33	1.09823379833925	0.581371384898226	0.359535232982542	0.360380918001907	0.254695894624632	0.57217219514049
ENSCPOG00000026198		0	0.459728021535855	0	2.19839046084171	3.17212159668979	2.85045784488328
ENSCPOG00000026200		17.2734281353056	12.3442867731301	14.0612078554244	18.3020703279955	18.6097800339672	15.8383132047863
ENSCPOG00000026201		0	0	0	0	0	0
ENSCPOG00000026202	C7orf57	8.98550573712362	12.3179153337399	9.31876455217675	15.7266614892219	12.9671186891888	13.4530054367785
ENSCPOG00000026203	NRTN	0.629641277929221	0.382692515223726	0.887501385921095	2.44001535833867	3.58364007409714	2.71178692270216
ENSCPOG00000026204		0	0	0	0	0	0
ENSCPOG00000026206	EFCAB11	5.47878044496746	6.73233611905561	5.8422637245017	3.28859431922968	4.4954606677089	3.07779497361846
ENSCPOG00000026207	Ak6	61.832835901466	56.0655595281138	66.4343522987312	62.9485176078792	70.7951530914465	66.3349322745876
ENSCPOG00000026208		0	0	0	0	0	0
ENSCPOG00000026209	GDNF	3.12831251040524	2.68428873237554	1.55628205114215	20.724952725145	11.7413600332967	23.7763308388696
ENSCPOG00000026210	MBD3	36.0831494417729	45.8967092395897	49.4827927895578	58.4683421587107	66.1770195172205	58.1689983655822
ENSCPOG00000026213	AP1M2	0	0	0.0779989341545926	0.737148345340059	0	0.297910083550572
ENSCPOG00000026214		9.56811837929124	13.9939057582502	17.4649655046919	13.2441828434693	5.21811940158365	12.1505862361109
ENSCPOG00000026216		0	0	0	0	0	0
ENSCPOG00000026219	PDSS1	9.99107613169723	10.1016823073489	8.89016632189636	13.1429790681353	12.1701152965898	15.8304695433711
ENSCPOG00000026220		0.382540677888034	0.261569391562875	0.56616467722549	0	0.17188836238249	0.540604074029549
ENSCPOG00000026221		0.139668628797848	0.127334739777546	0	0	0.12551560274693	0.338363701011153
ENSCPOG00000026225		0	0	0	0	0	0
ENSCPOG00000026226		0	0	0	0	0	0
ENSCPOG00000026227	MEOX2	0	0.233657146259209	0.108374756697107	0.931111471311229	0.921276239303311	0.724373775762639
ENSCPOG00000026229		0.0653667993361043	0.119188746323532	0	0	0	0
ENSCPOG00000026230		0.0281769802653493	0	0	0	0	0
ENSCPOG00000026232	ATP6V1G3	0	0	0	0	0	0
ENSCPOG00000026233		0	0	0	0	0	0
ENSCPOG00000026234	INPP4B	18.608381751228	14.2967148495108	15.0335124113278	13.1112858466161	13.9476826499453	17.2170807864215
ENSCPOG00000026235		123.579086351037	127.220978791844	113.681268894675	133.473175153353	133.905396944323	126.693446140594
ENSCPOG00000026236	LDLRAD2	0	0	0	0.136954745537892	0	0
ENSCPOG00000026237		0	0	0	0	0	0
ENSCPOG00000026238	USP20	19.0260915568221	19.919336551291	19.862891728184	22.7016551010012	25.8698662513768	23.7685791216064
ENSCPOG00000026239		3.17460644323399	2.78294478445068	3.30440767588199	4.34723648256627	2.74318691537406	3.25382452104291
ENSCPOG00000026240	FBXO44	0.834192708714707	0.691387844886902	0.12827168468431	0.220411543599921	0.9541146990051	0.48992244208942
ENSCPOG00000026241	FOXC2	3.25295954343114	3.28119607527282	2.22429046097505	4.12377818470543	2.61233543257127	3.24169715693165
ENSCPOG00000026243		0	0	0	0	0	0
ENSCPOG00000026245		1.12282112217741	0.594387162171973	0.367584529243791	0.210542370005371	0.71609461417913	0.467985616323935
ENSCPOG00000026248	SERPINE3	2.1091687252482	1.83550669339156	0.567562614700611	0.348304661490116	0.861563890459265	0.30967937080219
ENSCPOG00000026250	TTC9C	21.7436121311429	27.5101248086394	27.7711862245561	22.4089267641234	24.9238125454665	23.2923126753235
ENSCPOG00000026251		0	0	0	24.5059024241251	0	29.2952163911804
ENSCPOG00000026252		0	0	0	0	0	0
ENSCPOG00000026253		0	0	0	0	0	0
ENSCPOG00000026254	ADGRL1	30.4753699928634	36.0285894633579	26.9753071724939	19.2780197696374	18.06720693273	13.5328508216681
ENSCPOG00000026257		0	0	0	0	0	0
ENSCPOG00000026258		0	0	0	0	0	0
ENSCPOG00000026259	STRA6	0.202228535446252	0.210708676537397	0.0977308073782171	0.0419831511618197	0	0.0933185603980442
ENSCPOG00000026260	TMEM205	72.5468261895118	88.8702658051958	84.1678288048643	77.5106194586926	79.887378106142	70.6313449143357
ENSCPOG00000026262	P3H4	29.4256121890292	34.6847268983341	31.8804029234122	29.0350202008114	30.3556389567064	28.4023198713915
ENSCPOG00000026266	ITPRIPL2	30.953439832871	30.1057406252711	24.1831686055062	36.6501138666257	43.3720924856618	33.9337682506412
ENSCPOG00000026268		0	0	0	0	0	0
ENSCPOG00000026269		1.12544576247831	2.30863419510096	1.18976635069216	1.83995723352613	2.78135299419728	1.81768326340021
ENSCPOG00000026270	B3GALT6	17.2022247872884	24.0848018877659	22.3420048259951	16.0705125460178	16.1216053299916	14.4868205660888
ENSCPOG00000026271	COL4A1	254.701794025724	282.036484645117	198.158334705953	53.7831327386228	4.36435460592371	40.6862023626391
ENSCPOG00000026272	SOX14	0	0	0	0	0	0
ENSCPOG00000026273	TBX21	0.0496520189331088	0.090534674317707	0.083983507107614	0.0721551856285136	0.0892412725411726	0.0801919086796214
ENSCPOG00000026274		0	0	0	0	0	0
ENSCPOG00000026275	SPPL2B	20.2855856617178	28.9694328999336	28.8166266327154	28.1551006876816	24.4965471874701	22.7803937154587
ENSCPOG00000026276	PDGFA	10.3603234313217	7.65844997413488	11.9983360442291	30.7897971674347	27.0087853257207	27.7371474906461
ENSCPOG00000026277		0	0	0	0	0	0
ENSCPOG00000026278	KIF5C	0.628873690164527	0.591833774849786	0.480382150373716	0.383244314053398	0.692762187783116	0.294874949471075
ENSCPOG00000026279	CKAP4	79.942029916204	100.827256044536	95.5631731834328	88.9741129292997	60.0360418758914	84.552203658328
ENSCPOG00000026280		0	0	0	0	0	0
ENSCPOG00000026285		0	0	0	0	0	0
ENSCPOG00000026287	TMEM63B	57.519330667707	63.9987765106036	62.994486127202	71.5646911501635	62.9588071525914	74.4540957850488
ENSCPOG00000026288	CLDN15	0.253225296558974	0.307817892680475	0.713859810415296	0	0	0
ENSCPOG00000026289	RAB11FIP5	11.4024289006655	13.1812230051293	11.2609900739532	8.55585999569355	11.4748403759667	8.3452943686479
ENSCPOG00000026291		462.168387210645	472.592926208727	393.351944044823	288.976912791828	402.911054269989	272.070671620553
ENSCPOG00000026294		0	0	0	0	0	0
ENSCPOG00000026295		0	0	0	0	0	0
ENSCPOG00000026296		0.0530435502809096	0.0967187367711447	0.179440170924064	0.154167637053187	0.19067397575728	0.0856694980703097
ENSCPOG00000026297		1.94139394027752	2.17840354820189	2.02077238640754	1.95318537097024	4.56297491216868	1.92954069500245
ENSCPOG00000026302	DUSP3	16.4032215274953	23.662471696703	23.0038460832201	21.7252704365361	30.2284528625964	23.4743587225615
ENSCPOG00000026304		0.606685606338757	2.21244110364059	2.39440478077099	1.4694102906586	1.45388906514586	0.326614961393325
ENSCPOG00000026305		0	0	0	0	0	0
ENSCPOG00000026306	CNGA4	0	0	0	0	0	0
ENSCPOG00000026309	Cavporv1r608	0	0	0	0	0	0
ENSCPOG00000026310		3.59827325138774	4.73004649744029	3.39698806335714	5.71549933747496	3.00804634169085	5.94664481432957
ENSCPOG00000026311		0	0	0	0	0	0
ENSCPOG00000026314	HOXC12	0	0	0	0	0	0
ENSCPOG00000026315	PRSS27	0	0	0	0	0.130686657541531	0.117434592860916
ENSCPOG00000026316	CCDC92	13.6337373800045	18.7878493719852	17.9596963306645	26.3866143069181	21.2296034367369	28.4123306221306
ENSCPOG00000026317		0	0	0	0	0	0
ENSCPOG00000026318		58.1685580597684	64.1190478337921	69.2686459056613	58.9272341167411	58.6603089984241	64.7215277459656
ENSCPOG00000026320		0.14170758688161	0.258387282176873	0	0.41186390628854	0	0
